symbol,name,sector,industry
ACET,Adicet Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACIU,AC Immune SA Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Technology,EDP Services
ACNB,ACNB Corporation Common Stock,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
ACST,Acasti Pharma Inc. Class A Common Stock,Health Care,Medicinal Chemicals and Botanical Products
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,
ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ADER,26 Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,Industrials,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,,
ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW,Edoc Acquisition Corp. Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,Industrials,Consumer Electronics/Appliances
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,,
ADSEW,ADS-TEC ENERGY PLC Warrant,,
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,Consumer Discretionary,Advertising
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
AEAEU,AltEnergy Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
AEAEW,AltEnergy Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,
AEG,AEGON N.V. Common Stock,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,Finance,Business Services
AEHAU,Aesther Healthcare Acquisition Corp Units,Industrials,Consumer Electronics/Appliances
AEHAW,Aesther Healthcare Acquisition Corp Warrants,Finance,Business Services
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products
AEI,Alset EHome International Inc. Common Stock,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,
AEM,Agnico Eagle Mines Limited Common Stock,,
AEMD,Aethlon Medical Inc. Common Stock,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,Industrials,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
AERC,AeroClean Technologies Inc. Common Stock,Utilities,Environmental Services
AERI,Aerie Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,Miscellaneous,Other Pharmaceuticals
AFACU,Arena Fortify Acquisition Corp. Unit,Miscellaneous,Other Pharmaceuticals
AFAQ,AF Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
AFAQU,AF Acquisition Corp. Units,Industrials,Consumer Electronics/Appliances
AFAQW,AF Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,,
AFARU,Aura FAT Projects Acquisition Corp Unit,,
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,,
AFYA,Afya Limited Class A Common Shares,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,Finance,Investment Managers
AGBAW,AGBA Acquisition Limited Warrant,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,Finance,Business Services
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,,
AGFY,Agrify Corporation Common Stock,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,Finance,Business Services
AGGRU,Agile Growth Corp. Units,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,,
AGIL,AgileThought Inc. Class A Common Stock,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,,
AGRO,Adecoagro S.A. Common Shares,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
AGTC,Applied Genetic Technologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGTI,Agiliti Inc. Common Stock,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,Industrials,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,Finance,Finance: Consumer Services
AHH,Armada Hoffler Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
AHI,Advanced Human Imaging Limited. American Depositary Shares,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,,
AHPAU,Avista Public Acquisition Corp. II Unit,,
AHPAW,Avista Public Acquisition Corp. II Warrant,,
AHPI,Allied Healthcare Products Inc. Common Stock,Health Care,Industrial Specialties
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,,
AHRNU,Ahren Acquisition Corp. Unit,,
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,,
AIBBU,AIB Acquisition Corporation Unit,,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
AIM,AIM ImmunoTech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,,
AIMC,Altra Industrial Motion Corp. Common Stock,Industrials,Industrial Machinery/Components
AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,Finance,Investment Managers
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services
AIP,Arteris Inc. Common Stock,Technology,Semiconductors
AIR,AAR Corp. Common Stock,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Hospital/Nursing Management
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
AIU,Meta Data Limited ADS,Consumer Discretionary,Service to the Health Industry
AIV,Apartment Investment and Management Company Common Stock,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Industrials,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,,
